NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990,MSE PNG,PSNR PNG,MSE JPEG,PSNR JPEG,MSE PCA-950,PSNR PCA-950,MSE PCA-975,PSNR PCA-975,MSE PCA-990,PSNR PCA-990
lung-512x512/baae108e_1-018.dcm,526.22,74.3,85.88,13.03,97.52,47.9,90.9,76.57,85.45,133.92,74.55,0,inf,1.55,46.23,21.98,34.71,16.96,35.84,10.07,38.1
lung-512x512/233cbbe1_1-081.dcm,526.23,99.14,81.16,21.35,95.94,76.57,85.45,129.82,75.33,215.84,58.98,0,inf,3.33,42.91,31.14,33.2,23.13,34.49,13.72,36.76
lung-512x512/8a63d014_1-134.dcm,526.22,73.02,86.12,11.83,97.75,60.19,88.56,105.25,80,178.97,65.99,0,inf,1.33,46.89,15.31,36.28,10.3,38,5.69,40.58
lung-512x512/5099819a_1-42.dcm,526.22,103.71,80.29,23.16,95.6,56.09,89.34,101.15,80.78,191.26,63.65,0,inf,4.38,41.72,33.75,32.85,26.5,33.9,16.31,36.01
lung-512x512/c7c81ee2_1-42.dcm,526.22,94.93,81.96,19.87,96.22,76.57,85.45,125.73,76.11,203.55,61.32,0,inf,3.07,43.26,27.11,33.8,21.17,34.87,12.87,37.04
lung-512x512/43ced81a_1-58.dcm,526.21,109.18,79.25,22,95.82,92.96,82.33,150.3,71.44,252.7,51.98,0,inf,5.33,40.86,29.25,33.47,22.16,34.68,12.77,37.07
lung-512x512/12763458_1-111.dcm,526.22,82.26,84.37,15.47,97.06,56.09,89.34,92.96,82.33,154.4,70.66,0,inf,2.09,44.93,24.54,34.23,20.31,35.05,13.42,36.85
lung-512x512/3888401c_1-097.dcm,526.23,86.49,83.56,17.32,96.71,64.29,87.78,109.34,79.22,187.17,64.43,0,inf,2.23,44.65,26.26,33.94,19.39,35.26,11.76,37.43
lung-512x512/c3d1d33b_1-032.dcm,526.21,96.78,81.61,17.07,96.76,39.71,92.45,84.77,83.89,170.78,67.55,0,inf,3.68,42.47,25.63,34.04,19.64,35.2,13.01,36.99
lung-512x512/1d46a47c_1-093.dcm,526.2,96.7,81.62,15.68,97.02,39.71,92.45,76.57,85.45,158.49,69.88,0,inf,3.72,42.43,21.05,34.9,17.35,35.74,11.24,37.62
lung-512x512/95894852_1-026.dcm,526.18,81.68,84.48,14.39,97.27,47.9,90.9,97.05,81.55,170.78,67.54,0,inf,2.3,44.51,21.76,34.75,16.26,36.02,9.88,38.18
lung-512x512/9e5377ea_1-114.dcm,526.22,89.48,83,16.38,96.89,64.29,87.78,101.15,80.78,162.59,69.1,0,inf,2.5,44.15,25.2,34.12,20.81,34.95,13.2,36.93
lung-512x512/43d73ca7_1-107.dcm,526.23,97.26,81.52,19.08,96.37,56.09,89.34,92.96,82.33,170.78,67.55,0,inf,3.35,42.88,27.5,33.74,20.37,35.04,13.05,36.97
lung-512x512/dc34ffb8_1-019.dcm,526.22,80.87,84.63,14.58,97.23,76.57,85.45,109.34,79.22,166.69,68.32,0,inf,1.92,45.3,23.15,34.49,18.35,35.49,11.69,37.45
lung-512x512/6c3fc8d8_1-115.dcm,526.22,101.44,80.72,17.34,96.7,39.71,92.45,76.57,85.45,154.4,70.66,0,inf,4.21,41.89,24.46,34.25,19.98,35.12,13.07,36.97
lung-512x512/ee384386_1-011.dcm,525.71,89.96,82.89,13.06,97.52,39.71,92.45,76.57,85.43,146.21,72.19,0,inf,2.17,44.77,22.35,34.64,16.68,35.91,10.32,37.99
lung-512x512/f058eded_1-036.dcm,526.22,82.19,84.38,16.13,96.93,47.9,90.9,88.86,83.11,154.4,70.66,0,inf,1.97,45.19,26.11,33.96,18.79,35.39,12.07,37.31
lung-512x512/86416012_1-17.dcm,525.72,77.5,85.26,12.9,97.55,43.81,91.67,76.57,85.43,133.92,74.53,0,inf,1.46,46.49,20.66,34.98,15.25,36.3,8.38,38.9
lung-512x512/b98728b3_1-031.dcm,526.2,87.32,83.41,13.03,97.52,43.81,91.68,97.05,81.56,178.97,65.99,0,inf,2.22,44.67,17.59,35.68,12.13,37.29,6.82,39.79
